date,Cases
Jan21,6285448
Feb21,2467058
Mar21,1776581
Apr21,1832202
May21,981676
Jun21,385721
Jul21,1373312
Aug21,4114589
Sep21,4185050
Oct21,2660463
Nov21,2444998
Dec21,5449603
