Day,Cases
2022-09-01,116212
2022-09-02,120932
2022-09-03,103592
2022-09-04,105130
2022-09-05,24912
2022-09-06,24255
2022-09-07,22446
2022-09-08,118994
2022-09-09,91690
2022-09-10,85271
2022-09-11,81941
2022-09-12,22131
2022-09-13,20216
2022-09-14,57915
2022-09-15,57983
2022-09-16,89519
2022-09-17,97563
2022-09-18,61574
2022-09-19,17572
2022-09-20,20188
2022-09-21,44794
2022-09-22,49594
2022-09-23,83979
2022-09-24,99198
2022-09-25,53400
2022-09-26,15871
2022-09-27,15295
2022-09-28,37642
2022-09-29,40387
2022-09-30,78175
