Day,Cases
2021-10-01,116797
2021-10-02,124042
2021-10-03,120674
2021-10-04,81968
2021-10-05,66639
2021-10-06,91816
2021-10-07,101799
2021-10-08,118223
2021-10-09,113038
2021-10-10,108501
2021-10-11,70589
2021-10-12,58449
2021-10-13,77961
2021-10-14,89638
2021-10-15,96312
2021-10-16,96871
2021-10-17,92417
2021-10-18,63002
2021-10-19,47645
2021-10-20,72322
2021-10-21,80595
2021-10-22,76534
2021-10-23,87571
2021-10-24,80874
2021-10-25,36114
2021-10-26,28057
2021-10-27,84460
2021-10-28,101787
2021-10-29,84199
2021-10-30,103121
2021-10-31,88448
