Day,Cases
2022-06-01,55525
2022-06-02,155982
2022-06-03,140951
2022-06-04,111559
2022-06-05,140094
2022-06-06,47471
2022-06-07,43315
2022-06-08,99664
2022-06-09,152307
2022-06-10,144559
2022-06-11,105965
2022-06-12,147763
2022-06-13,37707
2022-06-14,38721
2022-06-15,91358
2022-06-16,138010
2022-06-17,143175
2022-06-18,97574
2022-06-19,125711
2022-06-20,35853
2022-06-21,35517
2022-06-22,52244
2022-06-23,186492
2022-06-24,134198
2022-06-25,101869
2022-06-26,163464
2022-06-27,44012
2022-06-28,44178
2022-06-29,96530
2022-06-30,154793
