Day,Cases
2021-03-01,68298
2021-03-02,52570
2021-03-03,51114
2021-03-04,53761
2021-03-05,66043
2021-03-06,64859
2021-03-07,64094
2021-03-08,57710
2021-03-09,43758
2021-03-10,42703
2021-03-11,54088
2021-03-12,61755
2021-03-13,59764
2021-03-14,64222
2021-03-15,52274
2021-03-16,47230
2021-03-17,43532
2021-03-18,51806
2021-03-19,59588
2021-03-20,63099
2021-03-21,62022
2021-03-22,58456
2021-03-23,45228
2021-03-24,48228
2021-03-25,57684
2021-03-26,68021
2021-03-27,65367
2021-03-28,74834
2021-03-29,63203
2021-03-30,53256
2021-03-31,58014
