Day,Cases
2021-06-01,12350
2021-06-02,9408
2021-06-03,8935
2021-06-04,16048
2021-06-05,18151
2021-06-06,18592
2021-06-07,14734
2021-06-08,11084
2021-06-09,9898
2021-06-10,14314
2021-06-11,19640
2021-06-12,15924
2021-06-13,13971
2021-06-14,12350
2021-06-15,8721
2021-06-16,8275
2021-06-17,12616
2021-06-18,13220
2021-06-19,13484
2021-06-20,11961
2021-06-21,12350
2021-06-22,9047
2021-06-23,8568
2021-06-24,13288
2021-06-25,13841
2021-06-26,15572
2021-06-27,14971
2021-06-28,13294
2021-06-29,10676
2021-06-30,10438
