Day,Cases
2021-04-01,61789
2021-04-02,69567
2021-04-03,73685
2021-04-04,70446
2021-04-05,63695
2021-04-06,45722
2021-04-07,56400
2021-04-08,63657
2021-04-09,74627
2021-04-10,75434
2021-04-11,76415
2021-04-12,68111
2021-04-13,53239
2021-04-14,60435
2021-04-15,72206
2021-04-16,70654
2021-04-17,71498
2021-04-18,71074
2021-04-19,77212
2021-04-20,49337
2021-04-21,35281
2021-04-22,57318
2021-04-23,63049
2021-04-24,61479
2021-04-25,62419
2021-04-26,51698
2021-04-27,40847
2021-04-28,30199
2021-04-29,50313
2021-04-30,54396
