Day,Cases
2022-04-01,48239
2022-04-02,40063
2022-04-03,27393
2022-04-04,11677
2022-04-05,10548
2022-04-06,26930
2022-04-07,33374
2022-04-08,42256
2022-04-09,33806
2022-04-10,42601
2022-04-11,14053
2022-04-12,17314
2022-04-13,34571
2022-04-14,28789
2022-04-15,46149
2022-04-16,62708
2022-04-17,44355
2022-04-18,16817
2022-04-19,18767
2022-04-20,36003
2022-04-21,53418
2022-04-22,57408
2022-04-23,49509
2022-04-24,68799
2022-04-25,23458
2022-04-26,21103
2022-04-27,49858
2022-04-28,64414
2022-04-29,77145
2022-04-30,61915
