Day,Cases
2021-11-01,34950
2021-11-02,25347
2021-11-03,117847
2021-11-04,74593
2021-11-05,78766
2021-11-06,88850
2021-11-07,89858
2021-11-08,35987
2021-11-09,31524
2021-11-10,116391
2021-11-11,82883
2021-11-12,93749
2021-11-13,73647
2021-11-14,122999
2021-11-15,69276
2021-11-16,33593
2021-11-17,133590
2021-11-18,96915
2021-11-19,105810
2021-11-20,123870
2021-11-21,113822
2021-11-22,46194
2021-11-23,38751
2021-11-24,145378
2021-11-25,101066
2021-11-26,106535
2021-11-27,72723
2021-11-28,81747
2021-11-29,51800
2021-11-30,56537
