Day,Cases
2021-01-01,235818
2021-01-02,229492
2021-01-03,228546
2021-01-04,225318
2021-01-05,205458
2021-01-06,174314
2021-01-07,242441
2021-01-08,257750
2021-01-09,269765
2021-01-10,292105
2021-01-11,256294
2021-01-12,224484
2021-01-13,204122
2021-01-14,217776
2021-01-15,226378
2021-01-16,223583
2021-01-17,237318
2021-01-18,209511
2021-01-19,186583
2021-01-20,154205
2021-01-21,150233
2021-01-22,188266
2021-01-23,187644
2021-01-24,189419
2021-01-25,165512
2021-01-26,141554
2021-01-27,135591
2021-01-28,145943
2021-01-29,158965
2021-01-30,156822
2021-01-31,164238
