Day,Cases
2022-03-01,18169
2022-03-02,76237
2022-03-03,63819
2022-03-04,52784
2022-03-05,51622
2022-03-06,44216
2022-03-07,14292
2022-03-08,8941
2022-03-09,57277
2022-03-10,31172
2022-03-11,46110
2022-03-12,39598
2022-03-13,36942
2022-03-14,12159
2022-03-15,9126
2022-03-16,60969
2022-03-17,24495
2022-03-18,37828
2022-03-19,33159
2022-03-20,31004
2022-03-21,9881
2022-03-22,10038
2022-03-23,38828
2022-03-24,24771
2022-03-25,45160
2022-03-26,36077
2022-03-27,28714
2022-03-28,12511
2022-03-29,9753
2022-03-30,32427
2022-03-31,24078
