Day,Cases
2021-12-01,93479
2021-12-02,120690
2021-12-03,133075
2021-12-04,143869
2021-12-05,151567
2021-12-06,67352
2021-12-07,55314
2021-12-08,184043
2021-12-09,125548
2021-12-10,129708
2021-12-11,137431
2021-12-12,135573
2021-12-13,63967
2021-12-14,58109
2021-12-15,185683
2021-12-16,125442
2021-12-17,146477
2021-12-18,162668
2021-12-19,156763
2021-12-20,87584
2021-12-21,102213
2021-12-22,266159
2021-12-23,203318
2021-12-24,237883
2021-12-25,278812
2021-12-26,241450
2021-12-27,115824
2021-12-28,211284
2021-12-29,464495
2021-12-30,389514
2021-12-31,474309
