Day,Cases
2020-06-01,24127
2020-06-02,21466
2020-06-03,17157
2020-06-04,20974
2020-06-05,20695
2020-06-06,20870
2020-06-07,24491
2020-06-08,23285
2020-06-09,18455
2020-06-10,18151
2020-06-11,18581
2020-06-12,22181
2020-06-13,22890
2020-06-14,28333
2020-06-15,26434
2020-06-16,20778
2020-06-17,20591
2020-06-18,24777
2020-06-19,25816
2020-06-20,28520
2020-06-21,33105
2020-06-22,33467
2020-06-23,27345
2020-06-24,28698
2020-06-25,37887
2020-06-26,37320
2020-06-27,47021
2020-06-28,46540
2020-06-29,43653
2020-06-30,37583
