Day,Cases
2022-08-01,37913
2022-08-02,37944
2022-08-03,119038
2022-08-04,161349
2022-08-05,149835
2022-08-06,131403
2022-08-07,150569
2022-08-08,33241
2022-08-09,32807
2022-08-10,98627
2022-08-11,137268
2022-08-12,138358
2022-08-13,125122
2022-08-14,136195
2022-08-15,30589
2022-08-16,21098
2022-08-17,99341
2022-08-18,126626
2022-08-19,120016
2022-08-20,114305
2022-08-21,132950
2022-08-22,28624
2022-08-23,27897
2022-08-24,81700
2022-08-25,115986
2022-08-26,130588
2022-08-27,110093
2022-08-28,115441
2022-08-29,29176
2022-08-30,27073
2022-08-31,78248
