Day,Cases
2020-05-01,26774
2020-05-02,31221
2020-05-03,33082
2020-05-04,28292
2020-05-05,25927
2020-05-06,22324
2020-05-07,22878
2020-05-08,25440
2020-05-09,28552
2020-05-10,28833
2020-05-11,25917
2020-05-12,20656
2020-05-13,19950
2020-05-14,23902
2020-05-15,17336
2020-05-16,34643
2020-05-17,26628
2020-05-18,26081
2020-05-19,19917
2020-05-20,22744
2020-05-21,21923
2020-05-22,23506
2020-05-23,26191
2020-05-24,25963
2020-05-25,21465
2020-05-26,20651
2020-05-27,19379
2020-05-28,17510
2020-05-29,19508
2020-05-30,24182
2020-05-31,23741
