Day,Cases
2020-10-01,38881
2020-10-02,45920
2020-10-03,46624
2020-10-04,50935
2020-10-05,47727
2020-10-06,35774
2020-10-07,41602
2020-10-08,41654
2020-10-09,52594
2020-10-10,56104
2020-10-11,58794
2020-10-12,54216
2020-10-13,44423
2020-10-14,49144
2020-10-15,50497
2020-10-16,57229
2020-10-17,63046
2020-10-18,69079
2020-10-19,54548
2020-10-20,48887
2020-10-21,61362
2020-10-22,58741
2020-10-23,68657
2020-10-24,74903
2020-10-25,82340
2020-10-26,76181
2020-10-27,65610
2020-10-28,69584
2020-10-29,74961
2020-10-30,84410
2020-10-31,91130
