Day,Cases
2021-05-01,55643
2021-05-02,55311
2021-05-03,48352
2021-05-04,36593
2021-05-05,32953
2021-05-06,42552
2021-05-07,44541
2021-05-08,42692
2021-05-09,44641
2021-05-10,37021
2021-05-11,27538
2021-05-12,24383
2021-05-13,33073
2021-05-14,35784
2021-05-15,40435
2021-05-16,35116
2021-05-17,29837
2021-05-18,21375
2021-05-19,19453
2021-05-20,27639
2021-05-21,27491
2021-05-22,27948
2021-05-23,27866
2021-05-24,22224
2021-05-25,16030
2021-05-26,14761
2021-05-27,24571
2021-05-28,23475
2021-05-29,21970
2021-05-30,24780
2021-05-31,15628
