Day,Cases
2020-08-01,66141
2020-08-02,68184
2020-08-03,56412
2020-08-04,50849
2020-08-05,45329
2020-08-06,52056
2020-08-07,55592
2020-08-08,53165
2020-08-09,62506
2020-08-10,51679
2020-08-11,46473
2020-08-12,43377
2020-08-13,58958
2020-08-14,54392
2020-08-15,51522
2020-08-16,56261
2020-08-17,51137
2020-08-18,41495
2020-08-19,41589
2020-08-20,41625
2020-08-21,46574
2020-08-22,46187
2020-08-23,47181
2020-08-24,42550
2020-08-25,36210
2020-08-26,35716
2020-08-27,40574
2020-08-28,46430
2020-08-29,46920
2020-08-30,46546
2020-08-31,40908
