Day,Cases
2022-07-01,148959
2022-07-02,112856
2022-07-03,172444
2022-07-04,48178
2022-07-05,46196
2022-07-06,45747
2022-07-07,169689
2022-07-08,145751
2022-07-09,120595
2022-07-10,167613
2022-07-11,55577
2022-07-12,57136
2022-07-13,113656
2022-07-14,184135
2022-07-15,156001
2022-07-16,138983
2022-07-17,182741
2022-07-18,57577
2022-07-19,56070
2022-07-20,101687
2022-07-21,179375
2022-07-22,158884
2022-07-23,148445
2022-07-24,206657
2022-07-25,53259
2022-07-26,54599
2022-07-27,106403
2022-07-28,168680
2022-07-29,160831
2022-07-30,144834
2022-07-31,259377
