Day,Cases
2020-04-01,15536
2020-04-02,23260
2020-04-03,28674
2020-04-04,29790
2020-04-05,32057
2020-04-06,32134
2020-04-07,26984
2020-04-08,28629
2020-04-09,29355
2020-04-10,34148
2020-04-11,34743
2020-04-12,33179
2020-04-13,31535
2020-04-14,27094
2020-04-15,25244
2020-04-16,25259
2020-04-17,25208
2020-04-18,31494
2020-04-19,30316
2020-04-20,28281
2020-04-21,26070
2020-04-22,26428
2020-04-23,25927
2020-04-24,30470
2020-04-25,33211
2020-04-26,34778
2020-04-27,33603
2020-04-28,26063
2020-04-29,23758
2020-04-30,23935
