Day,Cases
2022-01-01,584647
2022-01-02,471965
2022-01-03,302957
2022-01-04,390858
2022-01-05,902391
2022-01-06,732514
2022-01-07,702790
2022-01-08,798436
2022-01-09,852951
2022-01-10,448743
2022-01-11,486541
2022-01-12,1265520
2022-01-13,803539
2022-01-14,855880
2022-01-15,892303
2022-01-16,898407
2022-01-17,465957
2022-01-18,418737
2022-01-19,968465
2022-01-20,856293
2022-01-21,780466
2022-01-22,776490
2022-01-23,776480
2022-01-24,328564
2022-01-25,314947
2022-01-26,1011148
2022-01-27,493232
2022-01-28,545225
2022-01-29,572820
2022-01-30,523326
2022-01-31,222172
