Day,Cases
2020-12-01,141072
2020-12-02,151905
2020-12-03,192718
2020-12-04,210074
2020-12-05,216782
2020-12-06,223806
2020-12-07,205575
2020-12-08,176909
2020-12-09,183091
2020-12-10,226982
2020-12-11,221251
2020-12-12,208835
2020-12-13,245839
2020-12-14,217153
2020-12-15,181275
2020-12-16,198204
2020-12-17,198650
2020-12-18,240266
2020-12-19,246505
2020-12-20,235875
2020-12-21,202289
2020-12-22,186429
2020-12-23,183553
2020-12-24,197759
2020-12-25,226200
2020-12-26,202550
2020-12-27,161342
2020-12-28,147119
2020-12-29,154342
2020-12-30,176774
2020-12-31,208904
