Day,Cases
2022-05-01,80656
2022-05-02,25939
2022-05-03,26774
2022-05-04,64100
2022-05-05,72566
2022-05-06,100537
2022-05-07,80010
2022-05-08,95732
2022-05-09,27518
2022-05-10,31753
2022-05-11,100982
2022-05-12,100249
2022-05-13,127795
2022-05-14,98705
2022-05-15,117953
2022-05-16,29099
2022-05-17,46227
2022-05-18,123395
2022-05-19,129614
2022-05-20,146420
2022-05-21,109730
2022-05-22,150010
2022-05-23,36406
2022-05-24,44879
2022-05-25,110873
2022-05-26,133342
2022-05-27,153916
2022-05-28,113174
2022-05-29,148130
2022-05-30,36051
2022-05-31,35465
