Day,Cases
2022-10-01,87152
2022-10-02,46712
2022-10-03,12202
2022-10-04,13856
2022-10-05,32368
2022-10-06,37655
2022-10-07,64193
2022-10-08,78599
2022-10-09,41711
2022-10-10,11333
2022-10-11,13220
2022-10-12,24419
2022-10-13,38156
2022-10-14,57464
2022-10-15,72989
2022-10-16,33699
2022-10-17,6050
2022-10-18,11151
2022-10-19,33860
2022-10-20,38999
2022-10-21,0
2022-10-22,193674
2022-10-23,0
2022-10-24,0
2022-10-25,0
2022-10-26,0
2022-10-27,0
2022-10-28,255156
2022-10-29,0
2022-10-30,0
2022-10-31,0
