Day,Cases
2021-08-01,104519
2021-08-02,80567
2021-08-03,61188
2021-08-04,102409
2021-08-05,110283
2021-08-06,126833
2021-08-07,127854
2021-08-08,133922
2021-08-09,120252
2021-08-10,96790
2021-08-11,93050
2021-08-12,135427
2021-08-13,143479
2021-08-14,151161
2021-08-15,146305
2021-08-16,139848
2021-08-17,110712
2021-08-18,108955
2021-08-19,150448
2021-08-20,168162
2021-08-21,174382
2021-08-22,167459
2021-08-23,141824
2021-08-24,124481
2021-08-25,120825
2021-08-26,162414
2021-08-27,176904
2021-08-28,186271
2021-08-29,182171
2021-08-30,150022
2021-08-31,115672
