Day,Cases
2021-07-01,15514
2021-07-02,11639
2021-07-03,18586
2021-07-04,16890
2021-07-05,13189
2021-07-06,10459
2021-07-07,9147
2021-07-08,19962
2021-07-09,22636
2021-07-10,183538
2021-07-11,27579
2021-07-12,20875
2021-07-13,16722
2021-07-14,28892
2021-07-15,34978
2021-07-16,38299
2021-07-17,40555
2021-07-18,42258
2021-07-19,32139
2021-07-20,27993
2021-07-21,45195
2021-07-22,51040
2021-07-23,61313
2021-07-24,71708
2021-07-25,69639
2021-07-26,53795
2021-07-27,43206
2021-07-28,71245
2021-07-29,85805
2021-07-30,89149
2021-07-31,99367
